aimag,soum,lat,lon
Ömnögovi,Bayandalai,43.092427,103.265263
Ömnögovi,Bayan-Ovoo,44.883333,104.433333
Ömnögovi,Bulgan,45.533333,103.533333
Ömnögovi,Gurvantes,43.950000,101.480000
Ömnögovi,Dalanzadgad,43.574898,104.428695
Ömnögovi,Mandal-Ovoo,45.750000,106.270000
Ömnögovi,Manlai,43.983333,106.650000
Ömnögovi,Noyon,42.775896,102.372763
Ömnögovi,Nomgon,44.750000,103.850000
Ömnögovi,Sevrei,44.380000,102.730000
Ömnögovi,Khanbogd,43.080000,106.830000
Ömnögovi,Khankhongor,43.641231,104.636477
Ömnögovi,Khurmen,45.470000,104.170000
Ömnögovi,Tsogt-Ovoo,44.416667,105.333333
Ömnögovi,Tsogtsetsii,43.771715,105.878711
