aimag,soum,lat,lon,year,month,avg_temp,min_temp,wind_speed,snowfall_sum,precip_sum
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2015,1,-10.781,-24.1,16.774,0.49,0.1
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2015,2,-8.0,-23.0,20.471,0.35,0.0
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2015,3,-0.419,-15.6,23.719,1.12,0.3
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2015,4,8.583,-12.2,27.193,0.56,6.4
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2015,5,14.035,-2.2,28.826,2.73,9.6
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2015,6,18.913,5.3,25.06,0.0,49.8
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2015,7,23.1,10.4,22.952,0.0,21.9
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2015,8,22.848,9.8,22.713,0.0,8.0
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2015,9,14.263,0.5,23.37,2.1,27.8
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2015,10,6.432,-10.0,22.155,0.77,3.2
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2015,11,-6.163,-23.4,17.12,4.83,6.0
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2015,12,-11.935,-22.2,15.403,1.33,0.7
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2016,1,-18.719,-29.6,15.452,1.19,0.2
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2016,2,-10.666,-24.7,17.769,0.14,0.0
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2016,3,0.674,-19.0,25.258,1.4,3.0
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2016,4,9.697,-7.7,27.687,0.84,2.7
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2016,5,13.881,-2.7,31.116,0.0,10.5
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2016,6,18.537,7.0,23.393,0.0,47.8
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2016,7,25.529,12.0,22.271,0.0,33.0
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2016,8,24.323,6.8,23.481,0.0,6.1
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2016,9,15.68,-1.1,23.08,0.0,22.2
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2016,10,3.577,-14.5,20.639,0.07,15.9
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2016,11,-5.547,-22.7,21.063,1.19,1.3
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2016,12,-10.255,-20.2,16.277,2.31,2.8
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2017,1,-15.919,-29.6,17.032,1.26,1.8
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2017,2,-9.189,-27.1,17.979,2.59,3.7
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2017,3,-1.613,-13.0,21.803,11.41,16.9
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2017,4,9.07,-4.3,25.857,0.77,2.5
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2017,5,16.661,-4.3,29.968,0.91,8.2
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2017,6,22.82,8.1,28.593,0.0,9.6
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2017,7,25.319,12.1,28.135,0.0,11.3
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2017,8,21.01,7.4,25.5,0.0,13.3
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2017,9,15.457,-1.9,27.253,0.0,3.8
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2017,10,4.41,-11.6,19.3,0.07,0.6
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2017,11,-6.297,-20.4,23.037,0.7,1.1
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2017,12,-12.445,-23.4,18.968,0.21,0.3
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2018,1,-18.31,-31.5,18.684,1.47,2.1
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2018,2,-10.736,-25.0,22.221,0.63,0.9
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2018,3,4.016,-13.8,29.339,0.28,0.6
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2018,4,9.18,-10.4,31.067,1.89,6.6
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2018,5,17.826,0.8,30.187,0.0,2.5
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2018,6,22.903,5.9,26.797,0.0,4.0
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2018,7,23.397,12.0,26.197,0.0,49.1
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2018,8,20.106,10.8,20.01,0.0,66.6
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2018,9,11.957,-1.1,27.147,0.56,15.4
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2018,10,4.597,-7.3,22.816,0.07,0.5
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2018,11,-6.357,-19.4,19.503,0.84,1.3
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2018,12,-17.8,-32.0,18.519,0.77,1.1
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2019,1,-15.555,-27.2,17.858,0.07,0.1
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2019,2,-14.396,-27.1,17.504,2.59,3.9
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2019,3,-0.287,-11.4,23.119,1.61,2.4
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2019,4,9.693,-3.1,30.163,0.98,7.3
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2019,5,13.31,-2.9,31.632,5.39,9.1
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2019,6,22.337,8.9,28.943,0.0,3.6
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2019,7,24.161,13.8,27.303,0.0,17.7
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2019,8,21.261,10.0,23.242,0.0,25.0
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2019,9,18.66,4.8,24.043,0.0,2.8
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2019,10,4.774,-9.6,24.735,1.19,2.3
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2019,11,-5.087,-22.4,22.15,0.07,0.1
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2019,12,-13.094,-29.0,16.474,1.68,2.4
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2020,1,-13.258,-23.8,14.639,0.21,0.3
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2020,2,-7.383,-22.5,21.352,1.89,2.7
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2020,3,0.281,-15.9,26.713,0.28,0.4
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2020,4,9.787,-7.2,23.987,0.28,2.2
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2020,5,15.461,-0.3,29.29,0.0,4.5
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2020,6,22.153,8.4,29.82,0.0,3.8
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2020,7,24.387,12.2,27.616,0.0,6.8
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2020,8,21.906,10.0,26.716,0.0,6.8
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2020,9,15.723,2.2,23.987,0.0,5.5
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2020,10,3.303,-8.1,24.49,0.49,0.7
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2020,11,-4.88,-21.4,18.29,1.19,1.5
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2020,12,-17.732,-30.5,16.861,0.84,1.2
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2021,1,-15.768,-31.8,20.335,0.7,1.0
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2021,2,-5.046,-25.0,23.046,0.91,1.2
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2021,3,2.371,-17.0,27.387,1.33,2.2
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2021,4,8.287,-7.3,30.04,0.91,14.8
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2021,5,14.381,-1.9,34.129,0.14,1.1
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2021,6,20.7,3.5,29.683,0.0,12.9
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2021,7,22.774,12.6,22.384,0.0,81.4
Ömnögovi,Bayan-Ovoo,44.883333,104.433333,2021,8,20.171,7.3,26.065,0.0,17.3
