aimag,soum,lat,lon,year,month,avg_temp,min_temp,wind_speed,snowfall_sum,precip_sum
Ömnögovi,Khanbogd,43.08,106.83,2015,1,-8.371,-21.2,21.871,0.28,0.0
Ömnögovi,Khanbogd,43.08,106.83,2015,2,-6.121,-19.6,22.832,0.0,0.0
Ömnögovi,Khanbogd,43.08,106.83,2015,3,1.126,-15.5,27.881,1.33,1.8
Ömnögovi,Khanbogd,43.08,106.83,2015,4,9.187,-8.9,28.61,5.18,10.1
Ömnögovi,Khanbogd,43.08,106.83,2015,5,15.332,-0.4,30.513,0.63,2.1
Ömnögovi,Khanbogd,43.08,106.83,2015,6,19.847,7.8,28.027,0.0,23.8
Ömnögovi,Khanbogd,43.08,106.83,2015,7,24.232,11.7,22.813,0.0,23.0
Ömnögovi,Khanbogd,43.08,106.83,2015,8,23.103,11.2,25.726,0.0,3.0
Ömnögovi,Khanbogd,43.08,106.83,2015,9,15.867,2.1,25.777,0.0,30.4
Ömnögovi,Khanbogd,43.08,106.83,2015,10,7.994,-6.2,25.526,0.07,1.0
Ömnögovi,Khanbogd,43.08,106.83,2015,11,-3.783,-19.5,21.923,0.91,0.2
Ömnögovi,Khanbogd,43.08,106.83,2015,12,-10.119,-19.9,21.674,0.28,0.0
Ömnögovi,Khanbogd,43.08,106.83,2016,1,-15.416,-27.9,20.5,0.56,0.0
Ömnögovi,Khanbogd,43.08,106.83,2016,2,-7.407,-19.4,23.931,1.05,1.2
Ömnögovi,Khanbogd,43.08,106.83,2016,3,1.897,-16.7,29.106,0.0,0.7
Ömnögovi,Khanbogd,43.08,106.83,2016,4,10.91,-4.0,28.85,0.0,0.0
Ömnögovi,Khanbogd,43.08,106.83,2016,5,14.4,-1.1,31.6,0.0,24.9
Ömnögovi,Khanbogd,43.08,106.83,2016,6,19.717,8.5,24.693,0.0,41.6
Ömnögovi,Khanbogd,43.08,106.83,2016,7,26.155,14.3,23.619,0.0,11.8
Ömnögovi,Khanbogd,43.08,106.83,2016,8,25.355,8.6,24.926,0.0,14.4
Ömnögovi,Khanbogd,43.08,106.83,2016,9,16.873,-0.5,21.85,0.0,5.7
Ömnögovi,Khanbogd,43.08,106.83,2016,10,6.861,-13.5,26.194,0.56,8.6
Ömnögovi,Khanbogd,43.08,106.83,2016,11,-3.073,-20.1,25.88,0.42,0.5
Ömnögovi,Khanbogd,43.08,106.83,2016,12,-7.368,-18.7,21.852,0.35,0.0
Ömnögovi,Khanbogd,43.08,106.83,2017,1,-11.526,-24.9,24.313,0.63,0.9
Ömnögovi,Khanbogd,43.08,106.83,2017,2,-5.918,-20.5,24.604,3.5,5.1
Ömnögovi,Khanbogd,43.08,106.83,2017,3,0.355,-12.6,23.981,9.03,14.7
Ömnögovi,Khanbogd,43.08,106.83,2017,4,10.323,-2.3,28.413,0.0,3.7
Ömnögovi,Khanbogd,43.08,106.83,2017,5,18.368,-2.8,32.397,0.07,1.5
Ömnögovi,Khanbogd,43.08,106.83,2017,6,23.11,8.6,28.927,0.0,11.1
Ömnögovi,Khanbogd,43.08,106.83,2017,7,26.397,12.4,27.255,0.0,12.0
Ömnögovi,Khanbogd,43.08,106.83,2017,8,22.123,9.4,25.79,0.0,17.0
Ömnögovi,Khanbogd,43.08,106.83,2017,9,17.697,-0.1,27.1,0.0,1.0
Ömnögovi,Khanbogd,43.08,106.83,2017,10,6.361,-9.7,23.694,0.42,1.0
Ömnögovi,Khanbogd,43.08,106.83,2017,11,-3.853,-16.1,27.587,0.07,0.1
Ömnögovi,Khanbogd,43.08,106.83,2017,12,-9.258,-20.1,23.268,0.21,0.3
Ömnögovi,Khanbogd,43.08,106.83,2018,1,-14.877,-30.6,24.568,1.26,1.7
Ömnögovi,Khanbogd,43.08,106.83,2018,2,-8.261,-21.8,25.936,0.07,0.1
Ömnögovi,Khanbogd,43.08,106.83,2018,3,5.255,-10.9,31.445,1.33,2.1
