aimag,soum,lat,lon,year,month,avg_temp,min_temp,wind_speed,snowfall_sum,precip_sum
Ömnögovi,Manlai,43.983333,106.65,2015,1,-9.035,-23.4,23.513,0.56,0.2
Ömnögovi,Manlai,43.983333,106.65,2015,2,-7.471,-20.9,25.496,0.07,0.0
Ömnögovi,Manlai,43.983333,106.65,2015,3,-0.481,-18.0,27.223,0.28,0.0
Ömnögovi,Manlai,43.983333,106.65,2015,4,8.07,-11.4,29.66,2.17,3.6
Ömnögovi,Manlai,43.983333,106.65,2015,5,13.581,-2.4,30.49,2.31,5.0
Ömnögovi,Manlai,43.983333,106.65,2015,6,18.15,4.7,26.04,0.28,43.5
Ömnögovi,Manlai,43.983333,106.65,2015,7,22.829,10.7,22.035,0.0,21.5
Ömnögovi,Manlai,43.983333,106.65,2015,8,21.916,9.6,24.006,0.0,4.7
Ömnögovi,Manlai,43.983333,106.65,2015,9,14.503,0.9,25.407,1.54,27.8
Ömnögovi,Manlai,43.983333,106.65,2015,10,6.745,-8.2,25.294,1.12,2.5
Ömnögovi,Manlai,43.983333,106.65,2015,11,-4.83,-22.3,21.997,1.82,1.0
Ömnögovi,Manlai,43.983333,106.65,2015,12,-10.09,-17.8,23.516,1.12,0.7
Ömnögovi,Manlai,43.983333,106.65,2016,1,-16.774,-29.7,23.729,0.49,0.3
Ömnögovi,Manlai,43.983333,106.65,2016,2,-8.941,-21.3,27.086,1.12,1.5
Ömnögovi,Manlai,43.983333,106.65,2016,3,0.581,-19.0,28.629,0.42,0.9
Ömnögovi,Manlai,43.983333,106.65,2016,4,9.203,-6.4,29.723,0.21,0.4
Ömnögovi,Manlai,43.983333,106.65,2016,5,13.184,-3.0,32.503,1.47,19.3
Ömnögovi,Manlai,43.983333,106.65,2016,6,18.0,6.9,25.143,0.0,38.2
Ömnögovi,Manlai,43.983333,106.65,2016,7,25.216,12.5,23.061,0.0,16.8
Ömnögovi,Manlai,43.983333,106.65,2016,8,24.213,6.6,24.723,0.0,3.1
Ömnögovi,Manlai,43.983333,106.65,2016,9,15.053,-2.4,22.947,0.0,12.4
Ömnögovi,Manlai,43.983333,106.65,2016,10,4.545,-14.4,25.797,0.63,14.5
Ömnögovi,Manlai,43.983333,106.65,2016,11,-4.43,-22.4,28.547,0.63,0.4
Ömnögovi,Manlai,43.983333,106.65,2016,12,-8.003,-20.7,23.406,1.61,1.8
Ömnögovi,Manlai,43.983333,106.65,2017,1,-12.835,-27.0,27.684,0.7,1.1
Ömnögovi,Manlai,43.983333,106.65,2017,2,-7.461,-21.4,25.989,3.5,5.0
Ömnögovi,Manlai,43.983333,106.65,2017,3,-1.606,-14.6,23.874,12.04,17.6
Ömnögovi,Manlai,43.983333,106.65,2017,4,8.377,-3.5,27.367,0.07,3.2
Ömnögovi,Manlai,43.983333,106.65,2017,5,16.297,-4.8,31.042,1.4,6.4
Ömnögovi,Manlai,43.983333,106.65,2017,6,21.113,8.4,28.11,0.0,37.3
Ömnögovi,Manlai,43.983333,106.65,2017,7,24.342,10.9,25.49,0.0,24.4
Ömnögovi,Manlai,43.983333,106.65,2017,8,19.819,8.4,25.629,0.0,17.3
Ömnögovi,Manlai,43.983333,106.65,2017,9,15.567,-1.6,29.443,0.0,2.5
Ömnögovi,Manlai,43.983333,106.65,2017,10,5.074,-9.2,23.039,2.1,3.3
Ömnögovi,Manlai,43.983333,106.65,2017,11,-5.21,-19.6,31.34,0.21,0.3
Ömnögovi,Manlai,43.983333,106.65,2017,12,-10.41,-19.5,29.065,0.21,0.3
Ömnögovi,Manlai,43.983333,106.65,2018,1,-16.59,-31.2,27.8,1.96,2.8
Ömnögovi,Manlai,43.983333,106.65,2018,2,-10.154,-23.0,29.132,0.14,0.2
Ömnögovi,Manlai,43.983333,106.65,2018,3,3.874,-12.8,29.955,0.42,1.0
Ömnögovi,Manlai,43.983333,106.65,2018,4,8.717,-10.2,33.857,3.43,5.7
Ömnögovi,Manlai,43.983333,106.65,2018,5,16.658,-0.9,31.161,0.0,5.9
Ömnögovi,Manlai,43.983333,106.65,2018,6,21.783,6.7,29.2,0.0,1.6
